"Cercle","pop_2016","taux_fonct","taux_acces","taux_equip"
"Abeibara",9242,32.5,6,11
"Achouratt",31056,100,21,21
"Al-Ourche",40452,75.8333333333333,17.5,21.1666666666667
"Ansongo",230246,63,28.7142857142857,40.5714285714286
"Araouane",35058,84.2,23,27.4
"Bafoulabe",289306,72.3076923076923,64.5384615384615,35.719229640344
"Banamba",232338,56.3333333333333,61,59.2091765111758
"Bandiagara",366949,71.05,59.6,33.9291639204108
"Bankass",320322,84.75,80.9166666666667,21.5118177920423
"Baroueli",241963,81.2727272727273,64.9090909090909,19.1029455101932
"Bla",361047,77.1764705882353,44.8235294117647,16.8446534124349
"Bougouni",530551,79.44,68.92,22.6054121322234
"Boujbeha",37465,92.2,16.1666666666667,16.1666666666667
"Bourem",180480,35.2,13.2,30.4
"Denioro",217863,60.6923076923077,70.1538461538462,59.7667712886069
"Diema",264966,63.7857142857143,58.5,41.0771883945552
"Dioila",634060,63.8260869565217,40.0434782608696,24.1713560097726
"Dire",143151,72.4615384615385,56.5384615384615,66.2307692307692
"Djenne",218152,78.8181818181818,60.0909090909091,22.442616306255
"Douentza",301130,53.0714285714286,50.7857142857143,50.4265125782105
"Foum-Elba",10205,100,2.5,2.5
"Gao",363073,61.4285714285714,44.8571428571429,56.5714285714286
"Goundam",194070,59.5,45.0625,61.125
"Gourma-Rharous",156598,56.25,35,47.25
"Kadiolo",385570,86.5555555555556,63.6666666666667,14.0145847467796
"Kangaba",112632,80.125,73.875,23.0717759853336
"Kati",745748,79.375,67.8125,28.3453443828171
"Kayes",478663,69.2608695652174,65.2608695652174,46.2249874940724
"Kenieba",248558,78.1666666666667,66.6666666666667,30.232496688525
"Kidal",53722,53,21,24.6666666666667
"Kita",490598,77.6774193548387,57.8064516129032,22.8206585398976
"Kolokani",274683,75.7,74.5,36.4234219191575
"Kolondieba",260168,70.5833333333333,57.6666666666667,28.3752978126246
"Koro",442758,74.25,68.8125,34.5915190803841
"Koulikoro",208259,75.375,72.125,41.6338406908296
"Koutiala",561214,70.2647058823529,45.8529411764706,18.6281916915515
"Macina",250752,89.4,82.2,15.820944402739
"Menaka",114421,51.2,19.4,35.4
"Mopti",312116,90.0714285714286,71.1428571428571,11.2309355260003
"Nara",312343,59.0909090909091,49.4545454545455,41.3573883399814
"Niafunke",191598,62.8333333333333,53.6666666666667,72.6666666666667
"Niono",482587,82.3636363636364,40,9.14286607544994
"San",321260,72.2916666666667,59,31.5538124419362
"Segou",723885,71.0689655172414,50.2068965517241,24.3419232154586
"Sikasso",617374,76.2142857142857,62.1190476190476,21.5507221265646
"Taoudenit",4247,87,26,26
"Tenenkou",180699,86.6666666666667,73.8888888888889,17.0427877640566
"Tessalit",20686,25,22,27.3333333333333
"Tin-Essako",9524,78.5,24.5,31
"Tombouctou",155806,77.6,41.4,48.4
"Tominian",265796,76.5833333333333,60.6666666666667,25.5360929979746
"Yanfolila",262260,68.75,62,28.1257715332552
"Yelimane",210030,66.5454545454545,82.0909090909091,56.5332536621066
"Yorosso",273847,65,47.3333333333333,26.7975082340278
"Youwarou",130235,75.7142857142857,65.8571428571429,33.9191495301625
